date,open,high,previsao
1578247200000,7427.7,7432.28,0
1578250800000,7415.1,7440,0
1578254400000,7422.27,7460.46,0
1578258000000,7457.79,7458,0
1578261600000,7431.16,7444.73,0
1578265200000,7431.71,7476.31,0
1578268800000,7467.91,7484,0
1578272400000,7461.26,7470.76,0
1578276000000,7464.62,7468.87,0
1578279600000,7439.02,7449.69,0
1578283200000,7444.71,7445,0
1578286800000,7431.01,7431.53,0
1578290400000,7367.62,7385.65,0
1578294000000,7355.73,7363.35,0
1578297600000,7357.64,7384.72,0
1578301200000,7378.97,7426.82,0
1578304800000,7423.06,7562,1
1578308400000,7551.47,7580,0
1578312000000,7540.9,7554.61,0
1578315600000,7529.52,7541.55,0
1578319200000,7532.85,7537.53,0
1578322800000,7520,7527.27,0
1578326400000,7508.18,7551.68,0
1578330000000,7547.88,7553,0
1578333600000,7550.84,7576.68,0
1578337200000,7561.27,7582.27,0
1578340800000,7544.72,7566.24,0
1578344400000,7557.77,7622,0
1578348000000,7528.59,7558.45,0
1578351600000,7548.1,7553.28,0
1578355200000,7519.05,7546.08,0
1578358800000,7529.01,7561,0
1578362400000,7558.78,7560,0
1578366000000,7532.5,7551.71,0
1578369600000,7539.74,7557.99,0
1578373200000,7551.24,7608,0
1578376800000,7578.42,7752,1
1578380400000,7712.58,7795.34,0
1578384000000,7758.9,8000,1
1578387600000,7889.64,7919.99,0
1578391200000,7905.67,7940,0
1578394800000,7896.08,7916.94,0
1578398400000,7894.71,7905.5,0
1578402000000,7839.75,7882.56,0
1578405600000,7869.29,7876,0
1578409200000,7873.05,7896.72,0
1578412800000,7883.11,7904.72,0
1578416400000,7884.32,7886.17,0
1578420000000,7856.26,7889.78,0
1578423600000,7888.12,7965,0
1578427200000,7895.13,7915.77,0
1578430800000,7869.02,7869.03,0
1578434400000,7847.99,7884.59,0
1578438000000,7841.16,7847.99,0
1578441600000,7764.04,7940.12,1
1578445200000,7912.18,7952.05,0
1578448800000,7937.88,8137,1
1578452400000,8038.54,8111.45,0
1578456000000,8073.69,8175.01,0
1578459600000,8162.57,8188,0
1578463200000,8016.43,8067.06,0
1578466800000,8049.83,8207.68,1
1578470400000,8145.92,8455,1
1578474000000,8430.53,8448.14,0
1578477600000,8370.93,8422,0
1578481200000,8278.07,8344,0
1578484800000,8300.34,8355.87,0
1578488400000,8343.92,8377,0
1578492000000,8334.76,8367.61,0
1578495600000,8339.14,8347.99,0
1578499200000,8297.27,8329.09,0
1578502800000,8312.05,8321.83,0
1578506400000,8296.98,8359,0
1578510000000,8327.06,8370,0
1578513600000,8332.2,8347.33,0
1578517200000,8285.92,8418.61,1
1578520800000,8384.99,8385,0
1578524400000,8310.98,8359,0
1578528000000,8306.09,8335.79,0
1578531600000,8115,8123.98,0
1578535200000,8077.68,8094.93,0
1578538800000,8053.7,8069.73,0
1578542400000,7963.56,8060.86,0
1578546000000,8046.42,8048.66,0
1578549600000,8017.36,8080,0
1578553200000,8076.13,8125.57,0
1578556800000,8054.72,8055.96,0
1578560400000,7956.88,8037.37,0
1578564000000,8004.05,8026.01,0
1578567600000,7983.09,7993.46,0
1578571200000,7954.96,7978.31,0
1578574800000,7966.75,7966.75,0
1578578400000,7941.99,7951.68,0
1578582000000,7908.71,7976.67,0
1578585600000,7949.57,7955.83,0
1578589200000,7932.51,7932.94,0
1578592800000,7872.36,7934.78,0
1578596400000,7895.56,7901.99,0
1578600000000,7878.02,7917.68,0
1578603600000,7901.49,7945,0
1578607200000,7897.54,7919.59,0
1578610800000,7885.5,7930,0
1578614400000,7907.05,7920.01,0
1578618000000,7818.15,7846,0
1578621600000,7798.23,7832.13,0
1578625200000,7810.68,7957.48,1
1578628800000,7917.55,8000,0
1578632400000,7819.97,7854.14,0
1578636000000,7789.99,7873.12,0
1578639600000,7811.31,7835,0
1578643200000,7817.74,7854.06,0
1578646800000,7820.25,7841.57,0
1578650400000,7804.99,7825,0
1578654000000,7803.68,7825,0
1578657600000,7818.06,7819.84,0
1578661200000,7795.33,7797.95,0
1578664800000,7748,7786.13,0
1578668400000,7747.25,7757.38,0
1578672000000,7753.05,7754.36,0
1578675600000,7706.52,7750,0
1578679200000,7716.02,7788,0
1578682800000,7772.12,7854.44,0
1578686400000,7841.03,7899.98,0
1578690000000,7893.98,7944,0
1578693600000,7870.7,7982.85,0
1578697200000,7978.65,8086.85,0
1578700800000,8067.5,8140.11,0
1578704400000,7952.23,7979,0
1578708000000,7966.3,8113.53,1
1578711600000,8022.15,8122,0
1578715200000,8058.05,8100,0
1578718800000,8074,8135.21,0
1578722400000,8048.24,8101.86,0
1578726000000,8090.13,8199,0
1578729600000,8198.86,8200,0
1578733200000,8168.39,8253.26,0
1578736800000,8204.84,8217.41,0
1578740400000,8206,8207.81,0
1578744000000,8158.83,8179.94,0
1578747600000,8118.4,8118.4,0
1578751200000,8083.41,8128.98,0
1578754800000,8124.99,8150,0
1578758400000,8074.17,8096.87,0
1578762000000,8052.96,8129.97,0
1578765600000,8114.2,8117.03,0
1578769200000,8054.03,8074.26,0
1578772800000,8045.89,8068,0
1578776400000,8061.93,8102.56,0
1578780000000,8090.73,8135,0
1578783600000,8054,8106.65,0
1578787200000,8099.16,8180.7,0
1578790800000,8168.35,8221.55,0
1578794400000,8160,8189,0
1578798000000,8169.64,8179.96,0
1578801600000,8151.77,8189.49,0
1578805200000,8161.81,8286.34,1
1578808800000,8106.12,8139.69,0
1578812400000,8082.58,8082.58,0
1578816000000,8020.01,8080,0
1578819600000,8060.24,8089.97,0
1578823200000,8065.63,8108,0
1578826800000,8095,8110.92,0
1578830400000,8090.7,8105,0
1578834000000,8073.03,8110.92,0
1578837600000,8105.98,8155.77,0
1578862800000,8132.19,8170.1,0
1578866400000,8165.08,8185,0
1578870000000,8137.64,8171,0
1578873600000,8152.63,8175,0
1578877200000,8101.02,8197,0
1578880800000,8101.47,8129.68,0
1578884400000,8119.91,8160.42,0
1578888000000,8131.4,8152.56,0
1578891600000,8138.76,8145.98,0
1578895200000,8102.21,8168.78,0
1578898800000,8159.91,8185,0
1578902400000,8184.97,8196,0
1578906000000,8152.72,8163.13,0
1578909600000,8155.98,8159.52,0
1578913200000,8112.97,8124.9,0
1578916800000,8105.73,8126.31,0
1578920400000,8118.07,8118.07,0
1578924000000,8096.18,8115,0
1578927600000,8063.11,8094.05,0
1578931200000,8075.26,8134.6,0
1578934800000,8131.03,8132.5,0
1578938400000,8113.67,8129,0
1578942000000,8125.66,8131.56,0
1578945600000,8076.86,8096.11,0
1578949200000,8093.16,8114.48,0
1578952800000,8087.24,8096.76,0
1578956400000,8090,8103.18,0
1578960000000,8085.07,8110,0
1578963600000,8109.38,8129.45,0
1578967200000,8098.21,8109.71,0
1578970800000,8107.92,8121.84,0
1578974400000,8111.83,8160,0
1578978000000,8155.79,8158.88,0
1578981600000,8136,8141.01,0
1578985200000,8116.72,8137.94,0
